Substrate,Products,Kinetic Law,Modifiers,Parameters,,,,,,,,,Parameters,,,,
TAK1C,TAK1pC,Activation_bymod1,IKKppC,k1_TpCIKK3 k2_kmTpCIKK3,,,IKKppC-dependent TAK1C phosphorylation,,,,,,kTpCIKK3,kmTpCIKK3,k1_kTpCIKK3,k2_kmTpCIKK3,k1_kTpCIKK3 k2_kmTpCIKK3
TAK1pC,TAK1C,Hill Equation,,k1_TpCu k2_kmTpCu,,,basal TAK1C dephosphorylation,,,,,,kTpCu,kmTpCu,k1_kTpCu,k2_kmTpCu,k1_kTpCu k2_kmTpCu
TAK1,TAK1C,DualModAssociation,CB CpB,k1_TaB ,,,association between CB and TAK1,,,,,,kTaB,,k1_kTaB,,k1_kTaB 
TAK1,TAK1C,DualModAssociation,CM CpM,k1_TaM ,,,association between CM and TAK1,,,,,,kTaM,,k1_kTaM,,k1_kTaM 
TAK1,TAK1C,DualModAssociation,CBM CpBM,k1_TaBM ,,,association between CBM and TAK1,,,,,,kTaBM,,k1_kTaBM,,k1_kTaBM 
TAK1C,TAK1,Spontaneous,,k1_TCd ,,,dissociation between CBM and TAK1,,,,,,kTCd,,k1_kTCd,,k1_kTCd 
TAK1p,TAK1pC,DualModAssociation,CB CpB,k1_TpaB ,,,association between CB and TAK1p,,,,,,kTpaB,,k1_kTpaB,,k1_kTpaB 
TAK1p,TAK1pC ,DualModAssociation,CM CpM,k1_TpaM ,,,association between CM and TAK1p,,,,,,kTpaM,,k1_kTpaM,,k1_kTpaM 
TAK1p,TAK1pC,DualModAssociation,CBM CpBM,k1_TpaBM ,,,association between CBM and TAK1p,,,,,,kTpaBM,,k1_kTpaBM,,k1_kTpaBM 
TAK1pC,TAK1p,Spontaneous,,k1_TpCd ,,,dissociation between CBM and TAK1p,,,,,,kTpCd,,k1_kTpCd,,k1_kTpCd 
IKK,IKKp,Spontaneous,,k1_Ip0 ,,,basal IKK phosphorylation,,,,,,kIp0,,k1_kIp0,,k1_kIp0 
IKK,IKKp,InhibitHillEquation,TAK1p A20,k1_IpTAKp k2_kmIpTAKp k3_kdA20inhibition,,,TAKp-dependent IKK phosphorylation,,,,,A20 inhibits!!,kIpTAKp,kmIpTAKp,k1_kIpTAKp,k2_kmIpTAKp,k1_kIpTAKp k2_kmIpTAKp
IKK,IKKp,InhibitHillEquation,TAK1pC A20 A20,k1_IpTAKpC k2_kmIpTAKpC k3_kdA20inhibition,,,TAKpC-dependent IKK phosphorylation,,,,,A20 inhibits!!,kIpTAKpC,kmIpTAKpC,k1_kIpTAKpC,k2_kmIpTAKpC,k1_kIpTAKpC k2_kmIpTAKpC
IKKC,IKKpC,Spontaneous,,k1_ICp0 ,,,basal IKKC phosphorylation,,,,,,kICp0,,k1_kICp0,,k1_kICp0 
IKKC,IKKpC,InhibitHillEquation,TAK1p A20 A20,k1_ICpTAKp k2_kmICpTAKp k3_kdA20inhibition,,,TAKp-dependent IKKC phosphorylation,,,,,A20 inhibits!!,kICpTAKp,kmICpTAKp,k1_kICpTAKp,k2_kmICpTAKp,k1_kICpTAKp k2_kmICpTAKp
IKKC,IKKpC,InhibitHillEquation,TAK1pC A20 ,k1_ICpTAKpC k2_kmICpTAKpC k3_kdA20inhibition,,,TAKpC-dependent IKKC phosphorylation,,,,,A20 inhibits!!,kICpTAKpC,kmICpTAKpC,k1_kICpTAKpC,k2_kmICpTAKpC,k1_kICpTAKpC k2_kmICpTAKpC
IKKp,IKK,Hill Equation,,k1_Ipu k2_kmIpu,,,IKKp dephosphorylation,,,,,,kIpu,kmIpu,k1_kIpu,k2_kmIpu,k1_kIpu k2_kmIpu
